"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL380049";"";"None";"408.48";"0";"1.00";"17c";"CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(C)=O)CC2)cc1";"IC50";"'='";"4670.0";"nM";"5.33";"";"";"UO_0000065";"13.05";"0.26";"4.33";"4.72";"0";"CHEMBL866144";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138965";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"4670.0"
"CHEMBL345054";"";"None";"332.40";"0";"0.31";"69";"COc1ccc(S(=O)(=O)N2CCSCC2C(=O)NO)cc1";"IC50";"'='";"62.0";"nM";"7.21";"";"";"UO_0000065";"21.68";"0.47";"6.90";"7.51";"1";"CHEMBL4037092";"Inhibition of human interstitial recombinant N-terminal MMP1 expressed in Escherichia coli BL21(DE3) using Mca-Pro-Leu-Gly-Leu-Dpa-Ala-Arg-NH2 as substrate after 20 to 30 mins by spectrofluorimetric analysis";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033775";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";"";"62.0"
"CHEMBL303756";"";"None";"441.66";"0";"4.48";"table 9, 6";"CCCCCCCCCCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)NC)C(C)(C)C";"IC50";"'='";"3019.95";"nM";"5.52";"";"";"UO_0000065";"12.50";"0.24";"1.04";"5.13";"1";"CHEMBL924954";"Inhibition of human MMP1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"5.52"
"CHEMBL254400";"";"None";"500.62";"1";"4.99";"table 10, 1";"CNC(=O)[C@@H](NC(=O)C(CC(C)C)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1)C(C)(C)C";"IC50";"'='";"60.26";"nM";"7.22";"";"";"UO_0000065";"14.42";"0.28";"2.23";"7.56";"0";"CHEMBL924949";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"7.22"
"CHEMBL34808";"";"None";"494.53";"0";"3.16";"table 11, 10";"COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C(=O)NO)cnc3c(OC)cccc23)cc1";"IC50";"'='";"45.71";"nM";"7.34";"";"";"UO_0000065";"14.84";"0.29";"4.18";"5.61";"1";"CHEMBL924949";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"7.34"
"CHEMBL249839";"";"None";"452.50";"0";"2.12";"table 12, 9";"Cc1c(F)cccc1COc1ccc(S(=O)(=O)N2CCC[C@@](C)(O)C2C(=O)NO)cc1";"IC50";"'='";"1288.25";"nM";"5.89";"";"";"UO_0000065";"13.02";"0.26";"3.77";"5.07";"0";"CHEMBL924949";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"5.89"
"CHEMBL289604";"";"None";"578.57";"2";"5.83";"table 11, 19";"O=C(NO)c1cnc2cc(C(F)(F)F)ccc2c1N(Cc1cccnc1)S(=O)(=O)c1ccc(-c2ccccc2)cc1";"IC50";"'='";"4168.69";"nM";"5.38";"";"";"UO_0000065";"9.30";"0.18";"-0.45";"4.78";"1";"CHEMBL924949";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"5.38"
"CHEMBL38106";"";"None";"413.46";"0";"2.83";"table 11, 14";"C=Cc1cccc2c(N(C)S(=O)(=O)c3ccc(OC)cc3)c(C(=O)NO)cnc12";"IC50";"'='";"199.53";"nM";"6.70";"";"";"UO_0000065";"16.20";"0.32";"3.87";"6.16";"1";"CHEMBL924949";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"6.7"
"CHEMBL287820";"";"None";"532.50";"1";"4.17";"table 11, 6";"COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C(=O)NO)cnc3cc(C(F)(F)F)ccc23)cc1";"IC50";"'='";"77.62";"nM";"7.11";"";"";"UO_0000065";"13.35";"0.26";"2.94";"5.84";"1";"CHEMBL924949";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"7.11"
"CHEMBL251902";"";"None";"472.92";"0";"2.47";"table 12, 13";"C[C@@]1(O)CCCN(S(=O)(=O)c2ccc(OCc3ccc(Cl)cc3F)cc2)C1C(=O)NO";"IC50";"'='";"120.23";"nM";"6.92";"";"";"UO_0000065";"14.63";"0.30";"4.45";"5.96";"0";"CHEMBL924949";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"6.92"
